scenario_id,scenario_name,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
S3,Synthetic Route Flapping Burst,T12,2698,False,,True,0.981,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T13,2729,False,,True,0.817,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T14,2760,False,,True,0.594,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S3,Synthetic Route Flapping Burst,T15,2791,False,,True,0.991,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S3,Synthetic Route Flapping Burst,T16,2822,False,,True,1.22,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.79
S3,Synthetic Route Flapping Burst,T17,2853,False,,True,1.401,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.77
S3,Synthetic Route Flapping Burst,T18,2884,False,,True,0.806,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S3,Synthetic Route Flapping Burst,T19,2915,False,,False,,0.0,100,,False,True,F1 (Anomaly Not Visible in Ingress Telemetry),None (Propagated),0.77
S3,Synthetic Route Flapping Burst,T20,2946,False,,True,1.426,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.76
S4,Pakistan Telecom / YouTube (2008),T01,2457,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.41
S4,Pakistan Telecom / YouTube (2008),T02,2488,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T03,2519,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.41
S4,Pakistan Telecom / YouTube (2008),T04,2550,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T05,2581,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T06,2612,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.41
S4,Pakistan Telecom / YouTube (2008),T07,2643,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T08,2674,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T09,2705,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T10,2736,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T11,2767,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T12,2798,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T13,2829,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T14,2860,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T15,2891,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T16,2922,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.41
S4,Pakistan Telecom / YouTube (2008),T17,2953,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.4
S4,Pakistan Telecom / YouTube (2008),T18,2984,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S4,Pakistan Telecom / YouTube (2008),T19,3015,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.41
S4,Pakistan Telecom / YouTube (2008),T20,3046,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.39
S5,Google / Rostelecom Route Leak (2017),T01,2557,False,,True,0.589,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
S5,Google / Rostelecom Route Leak (2017),T02,2588,False,,True,0.407,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T03,2619,False,,True,0.586,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T04,2650,False,,True,0.589,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T05,2681,False,,True,0.585,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S5,Google / Rostelecom Route Leak (2017),T06,2712,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T07,2743,False,,True,0.411,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.72
S5,Google / Rostelecom Route Leak (2017),T08,2774,False,,True,0.793,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
S5,Google / Rostelecom Route Leak (2017),T09,2805,False,,True,0.587,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T10,2836,False,,True,0.6,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T11,2867,False,,True,0.579,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S5,Google / Rostelecom Route Leak (2017),T12,2898,False,,True,0.59,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
